new ID,Trabantetal ID,file name,date,time,magnitude,GPS lat,GPS lon,adit end lat,adit end lon,depth
1,0,640315-0800-YKA-sum.sac,1964-03-15,08:00:00,5.605,49.8208,78.0986,0,0,0.22
2,0,640516-0601-YKA-sum.sac,1964-05-16,06:01:00,5.594,49.8178,78.0939,0,0,0.253
4,0,640719-0600-YKA-sum.sac,1964-07-19,06:00:01,5.443,49.815,78.0931,0,0,0.168
5,0,641116-0600-YKA-sum.sac,1964-11-16,06:00:00,5.686,49.8139,78.1336,0,0,0.194
7,134,650511-0640-YKA-sum.sac,1965-05-11,06:40:00,4.766,49.7731,77.9914,49.7669,77.9979,0.103
8,141,650617-0345-YKA-sum.sac,1965-06-17,03:45:00,5.257,49.8306,78.0578,49.8291,78.0661,0.152
10,0,650917-0400-YKA-sum.sac,1965-09-17,04:00:00,5.223,49.8172,78.1425,0,0,0.156
11,0,651008-0600-YKA-sum.sac,1965-10-08,06:00:00,5.478,49.8306,78.1014,0,0,0.204
12,0,651121-0458-YKA-sum.sac,1965-11-21,04:58:00,5.656,49.8283,78.0597,0,0,0.278
14,0,660213-0458-YKA-sum.sac,1966-02-13,04:58:00,6.276,49.8142,78.1308,0,0,0.297
15,3,660320-0550-YKA-sum.sac,1966-03-20,05:50:00,6.073,49.7517,78.0083,49.7615,78.0226,0.294
16,0,660421-0358-YKA-sum.sac,1966-04-21,03:58:00,5.402,49.8178,78.0939,0,0,0.178
17,11,660507-0358-YKA-sum.sac,1966-05-07,03:58:00,4.748,49.7361,78.1072,49.7437,78.105,0.274
18,148,660629-0658-YKA-sum.sac,1966-06-29,06:58:01,5.532,49.8392,78.0708,49.835,78.0726,0.187
19,10,660721-0358-YKA-sum.sac,1966-07-21,03:58:00,5.395,49.7356,78.1047,49.7376,78.0972,0.17
20,6,660805-0358-YKA-sum.sac,1966-08-05,03:58:00,5.425,49.7589,78.0486,49.7637,78.042,0.171
23,4,661019-0358-YKA-sum.sac,1966-10-19,03:58:00,5.712,49.7419,78.0256,49.7468,78.0208,0.185
25,107,670130-0402-YKA-sum.sac,1967-01-30,04:02:00,4.666,49.7731,77.99,49.7705,77.9825,0.131
26,9,670226-0358-YKA-sum.sac,1967-02-26,03:58:00,6.08,49.7394,78.0864,49.7464,78.0822,0.241
27,8,670325-0558-YKA-sum.sac,1967-03-25,05:58:01,5.354,49.7533,78.0536,49.7533,78.0624,0.152
28,11,670420-0408-YKA-sum.sac,1967-04-20,04:08:00,5.58,49.7361,78.1072,49.7437,78.105,0.225
29,3,670528-0408-YKA-sum.sac,1967-05-28,04:08:00,5.501,49.7517,78.0083,49.7615,78.0226,0.262
30,118,670629-0257-YKA-sum.sac,1967-06-29,02:57:00,5.339,49.8222,78.0433,49.8174,78.0476,0.195
31,101,670715-0327-YKA-sum.sac,1967-07-15,03:27:00,5.399,49.8442,78.1156,49.8366,78.1177,0.161
32,7,670804-0658-YKA-sum.sac,1967-08-04,06:58:00,5.337,49.7544,78.0503,49.7609,78.0562,0.16
33,137,671017-0504-YKA-sum.sac,1967-10-17,05:04:00,5.667,49.7844,77.9978,49.7805,78.0031,0.181
34,96,671030-0604-YKA-sum.sac,1967-10-30,06:04:00,5.444,49.7972,77.9994,49.7942,78.0052,0.173
35,102,671208-0604-YKA-sum.sac,1967-12-08,06:04:00,5.33,49.8183,78.1708,49.8177,78.1637,0.15
36,0,680107-0347-YKA-sum.sac,1968-01-07,03:47:00,5.005,49.7539,78.0469,0,0,0.237
37,100,680424-1036-YKA-sum.sac,1968-04-24,10:36:00,4.91,49.8417,78.1072,49.8459,78.1035,0.127
38,110,680611-0306-YKA-sum.sac,1968-06-11,03:06:00,5.262,49.7986,78.15,49.7934,78.1447,0.149
39,113,680712-1208-YKA-sum.sac,1968-07-12,12:08:00,5.208,49.7556,78.0992,49.7554,78.09,0.172
41,104,680905-0406-YKA-sum.sac,1968-09-05,04:06:00,5.472,49.7381,78.0808,49.7423,78.0756,0.162
42,0,680929-0343-YKA-sum.sac,1968-09-29,03:43:00,5.887,49.8042,78.1056,0,0,0.29
45,103,681218-0502-YKA-sum.sac,1968-12-18,05:02:00,5.066,49.7408,78.0878,49.7467,78.0916,0.194
46,0,690307-0827-YKA-sum.sac,1969-03-07,08:27:00,5.694,49.8283,78.0597,0,0,0.214
47,124,690516-0403-YKA-sum.sac,1969-05-16,04:03:00,5.279,49.7678,78.0817,49.7598,78.0754,0.184
48,125,690704-0247-YKA-sum.sac,1969-07-04,02:47:00,5.268,49.7542,78.1092,49.747,78.111,0.219
49,0,690723-0247-YKA-sum.sac,1969-07-23,02:47:00,5.529,49.8197,78.1372,0,0,0.175
50,98,690911-0402-YKA-sum.sac,1969-09-11,04:02:00,4.951,49.7778,77.9864,49.7762,77.995,0.19
51,112,691001-0403-YKA-sum.sac,1969-10-01,04:03:00,5.275,49.7864,78.1081,49.7829,78.097,0.144
52,126,700129-0703-YKA-sum.sac,1970-01-29,07:03:00,5.624,49.7922,78.1131,49.7957,78.123,0.214
55,26,700724-0357-YKA-sum.sac,1970-07-24,03:57:00,5.353,49.8136,78.1322,49.8099,78.1286,0.154
56,78,701217-0701-YKA-sum.sac,1970-12-17,07:01:00,5.447,49.7519,78.1017,49.7462,78.099,0.193
58,121,710425-0333-YKA-sum.sac,1971-04-25,03:33:00,6.084,49.7803,78.0367,49.7686,78.0331,0.296
59,25,710525-0403-YKA-sum.sac,1971-05-25,04:03:00,5.097,49.8042,78.145,49.8023,78.1386,0.132
60,16,711129-0603-YKA-sum.sac,1971-11-29,06:03:00,5.49,49.7378,78.0814,49.7441,78.0787,0.203
61,114,711230-0621-YKA-sum.sac,1971-12-30,06:21:00,5.868,49.755,78.0475,49.7607,78.0362,0.249
62,86,720310-0457-YKA-sum.sac,1972-03-10,04:57:00,5.487,49.7519,78.1181,49.7473,78.1199,0.171
63,76,720328-0422-YKA-sum.sac,1972-03-28,04:22:00,5.199,49.7342,78.0825,49.734,78.0747,0.124
65,123,720816-0317-YKA-sum.sac,1972-08-16,03:17:00,5.13,49.7706,78.0572,49.766,78.0587,0.139
67,22,730216-0503-YKA-sum.sac,1973-02-16,05:03:00,5.509,49.8158,78.1067,49.8061,78.1034,0
68,0,730710-0127-YKA-sum.sac,1973-07-10,01:27:00,5.353,49.7911,78.0128,0,0,0
69,89,731026-0427-YKA-sum.sac,1973-10-26,04:27:00,5.266,49.7522,78.1325,49.7469,78.132,0
70,65,740516-0303-YKA-sum.sac,1974-05-16,03:03:00,5.276,49.7397,78.0358,49.7459,78.0374,0
72,80,740710-0257-YKA-sum.sac,1974-07-10,02:57:00,5.201,49.7772,78.1125,49.7791,78.1027,0
73,68,740913-0303-YKA-sum.sac,1974-09-13,03:03:00,5.176,49.7697,78.0553,49.7653,78.0549,0
75,13,750311-0543-YKA-sum.sac,1975-03-11,05:43:00,5.454,49.7547,78.1075,49.7462,78.106,0
76,56,750608-0327-YKA-sum.sac,1975-06-08,03:27:00,5.578,49.7517,78.0058,49.7606,78.0125,0
77,27,750807-0357-YKA-sum.sac,1975-08-07,03:57:00,5.218,49.8019,78.1306,49.8038,78.1234,0
78,18,751213-0457-YKA-sum.sac,1975-12-13,04:57:00,5.026,49.8133,78.1086,49.8074,78.1091,0
79,24,760115-0447-YKA-sum.sac,1976-01-15,04:47:00,5.227,49.81,78.1714,49.812,78.1576,0
80,13,760421-0458-YKA-sum.sac,1976-04-21,04:58:00,4.975,49.7547,78.1075,49.7462,78.106,0
81,54,760519-0257-YKA-sum.sac,1976-05-19,02:57:00,4.761,49.7775,78.0156,49.777,78.0009,0
82,72,760723-0233-YKA-sum.sac,1976-07-23,02:33:00,4.992,49.7433,78.0517,49.7492,78.0617,0
84,121,761230-0357-YKA-sum.sac,1976-12-30,03:57:00,5.113,49.7803,78.0367,49.7686,78.0331,0
86,18,770425-0407-YKA-sum.sac,1977-04-25,04:07:00,5.108,49.8133,78.1086,49.8074,78.1091,0
87,64,770730-0157-YKA-sum.sac,1977-07-30,01:57:00,5.162,49.7506,78.0492,49.75,78.0399,0
90,117,780326-0357-YKA-sum.sac,1978-03-26,03:57:00,5.727,49.7619,77.9825,49.7643,77.9993,0
91,88,780422-0307-YKA-sum.sac,1978-04-22,03:07:00,5.369,49.7517,78.1317,49.7469,78.1251,0
93,0,780728-0247-YKA-sum.sac,1978-07-28,02:47:00,5.766,49.755,78.145,0,0,0
95,83,781015-0537-YKA-sum.sac,1978-10-15,05:37:00,5.183,49.7367,78.1111,49.7395,78.1127,0
96,79,781031-0417-YKA-sum.sac,1978-10-31,04:17:00,5.281,49.7886,78.1075,49.7875,78.0974,0
99,117,790506-0317-YKA-sum.sac,1979-05-06,03:17:00,5.255,49.7619,77.9825,49.7643,77.9993,0
